                  Proc                 Proc ['P1,30 82 109 107']
                   the                  the ['P1,1213 879 1319 937']
                 Early                Early ['P1,1341 879 1531 953']
            Cretaceous           Cretaceous ['P1,1555 879 1933 940']
                    of                   of ['P1,1956 879 2028 938']
                   the                  the ['P1,2044 880 2149 938']
               western              western ['P1,22 971 285 1026']
                United               United ['P1,309 967 538 1026']
                States               States ['P1,562 967 788 1038']
                     ,                    , ['P1,562 967 788 1038']
           represented          represented ['P1,815 968 1218 1042']
                    by                   by ['P1,1242 968 1324 1042']
                     a                    a ['P1,1347 985 1387 1027']
                 lower                lower ['P1,1408 968 1599 1027']
                   jaw                  jaw ['P1,1612 967 1743 1042']
           exceptional          exceptional ['P1,1765 968 2149 1043']
                    in                   in ['P1,22 1055 86 1115']
                   its                  its ['P1,110 1056 188 1116']
          completeness         completeness ['P1,211 1056 684 1132']
                     ,                    , ['P1,211 1056 684 1132']
              presents             presents ['P1,711 1060 995 1132']
           unambiguous          unambiguous ['P1,1019 1056 1479 1132']
              evidence             evidence ['P1,1503 1057 1794 1117']
                    of                   of ['P1,1817 1056 1890 1117']
X           postcanine          postca-nine ['P1,1907 1061 2147 1133', 'P1,22 1146 165 1206']
                dental               dental ['P1,204 1147 417 1206']
               formula              formula ['P1,457 1145 732 1206']
                    in                   in ['P1,773 1147 839 1206']
                    an                   an ['P1,880 1163 963 1206']
                 Early                Early ['P1,1003 1147 1194 1222']
            Cretaceous           Cretaceous ['P1,1235 1146 1615 1207']
        marsupial-like       marsupial-like ['P1,1655 1147 2148 1223']
                mammal               mammal ['P1,21 1236 344 1307']
                     ,                    , ['P1,21 1236 344 1307']
                   and                  and ['P1,366 1236 494 1295']
               prompts              prompts ['P1,514 1240 803 1311']
                     a                    a ['P1,823 1253 862 1295']
       reconsideration      reconsideration ['P1,882 1235 1413 1295']
                    of                   of ['P1,1433 1235 1505 1295']
                   the                  the ['P1,1519 1237 1624 1295']
                 early                early ['P1,1644 1236 1816 1311']
             evolution            evolution ['P1,1834 1236 2147 1297']
                    of                   of ['P1,20 1324 91 1383']
             marsupial            marsupial ['P1,105 1325 450 1399']
                dental               dental ['P1,470 1325 684 1384']
            characters           characters ['P1,703 1325 1085 1384']
                     .                    . ['P1,703 1325 1085 1384']
                     A                    A ['P1,1111 1325 1168 1383']
             marsupial            marsupial ['P1,1189 1325 1533 1400']
            postcanine           postcanine ['P1,1555 1325 1916 1400']
                dental               dental ['P1,1936 1326 2147 1384']
               formula              formula ['P1,20 1412 293 1474']
                     (                    ( ['P1,323 1414 526 1485']
                 three                three ['P1,323 1414 526 1485']
             premolars            premolars ['P1,556 1414 907 1490']
                   and                  and ['P1,936 1414 1063 1474']
X                 four                 Four ['P1,1092 1413 1239 1474']
                molars               molars ['P1,1267 1414 1527 1486']
                     )                    ) ['P1,1267 1414 1527 1486']
                   and                  and ['P1,1557 1414 1684 1474']
               several              several ['P1,1713 1415 1951 1474']
X       marsupial-like      mar-supial-like ['P1,1981 1431 2146 1474', 'P1,20 1504 373 1578']
              features             features ['P1,395 1504 671 1563']
                    of                   of ['P1,694 1504 768 1563']
                   the                  the ['P1,784 1505 891 1564']
X                lower                 lour ['P1,914 1506 1106 1564']
                molars               molars ['P1,1128 1506 1362 1564']
                   are                  are ['P1,1385 1522 1496 1564']
               present              present ['P1,1519 1510 1771 1579']
                    in                   in ['P1,1795 1505 1859 1563']
                   the                  the ['P1,1882 1506 1988 1564']
                   new                  new ['P1,2012 1522 2148 1564']
                 taxon                taxon ['P1,19 1597 231 1664']
                     ,                    , ['P1,19 1597 231 1664']
                   but                  but ['P1,253 1594 368 1652']
                     a                    a ['P1,387 1611 426 1652']
              hallmark             hallmark ['P1,445 1594 759 1653']
X       specialization        specialhation ['P1,779 1594 1240 1668']
                    of                   of ['P1,1258 1594 1331 1653']
            marsupials           marsupials ['P1,1343 1594 1719 1669']
                     (                    ( ['P1,1738 1594 2063 1668']
              twinning             twinning ['P1,1738 1594 2063 1668']
X                   of                   oF ['P1,2081 1594 2153 1653']
                   the                  the ['P1,19 1682 124 1740']
           hypoconulid          hypoconulid ['P1,160 1682 580 1756']
                   and                  and ['P1,615 1683 743 1741']
             entoconid            entoconid ['P1,779 1682 1112 1741']
                    on                   on ['P1,1147 1699 1231 1741']
                 lower                lower ['P1,1265 1683 1457 1741']
                molars               molars ['P1,1491 1683 1750 1753']
                     )                    ) ['P1,1491 1683 1750 1753']
                    is                   is ['P1,1786 1683 1838 1741']
               lacking              lacking ['P1,1873 1683 2142 1757']
                     .                    . ['P1,1873 1683 2142 1757']
                  This                 This ['P1,19 1770 191 1841']
                     ,                    , ['P1,19 1770 191 1841']
               coupled              coupled ['P1,212 1771 477 1845']
                  with                 with ['P1,495 1770 645 1829']
                recent               recent ['P1,663 1775 877 1829']
              evidence             evidence ['P1,893 1770 1187 1830']
                  from                 from ['P1,1204 1770 1372 1829']
                   the                  the ['P1,1389 1771 1495 1830']
                  Late                 Late ['P1,1514 1771 1667 1830']
            Cretaceous           Cretaceous ['P1,1684 1770 2064 1830']
                    of                   of ['P1,2081 1771 2153 1830']
                   the                  the ['P1,19 1860 124 1918']
               western              western ['P1,146 1864 411 1919']
                United               United ['P1,436 1860 665 1919']
                States               States ['P1,688 1860 915 1931']
                     ,                    , ['P1,688 1860 915 1931']
              suggests             suggests ['P1,943 1865 1222 1935']
                  that                 that ['P1,1245 1861 1382 1919']
                   the                  the ['P1,1404 1861 1510 1919']
           distinctive          distinctive ['P1,1533 1860 1881 1921']
X            marsupial           marsu-pial ['P1,1904 1877 2145 1919', 'P1,19 1948 145 2022']
                dental               dental ['P1,180 1948 393 2008']
               formula              formula ['P1,426 1948 703 2008']
               evolved              evolved ['P1,737 1949 996 2008']
                 prior                prior ['P1,1031 1948 1208 2023']
                    to                   to ['P1,1243 1953 1310 2008']
                   the                  the ['P1,1345 1949 1450 2008']
                  most                 most ['P1,1485 1953 1649 2008']
        characteristic       characteristic ['P1,1682 1949 2146 2008']
        specialization       specialization ['P1,18 2037 478 2112']
                    of                   of ['P1,497 2037 570 2097']
                 lower                lower ['P1,582 2038 774 2097']
                molars               molars ['P1,793 2038 1028 2097']
                   and                  and ['P1,1047 2038 1174 2097']
                  that                 that ['P1,1195 2038 1331 2097']
           apomorphies          apomorphies ['P1,1351 2038 1792 2113']
              presumed             presumed ['P1,1811 2039 2145 2113']
                    to                   to ['P1,18 2130 84 2185']
X                   be                   he ['P1,111 2126 190 2186']
X           diagnostic           diuuuoslic ['P1,217 2126 564 2201']
                    of                   of ['P1,591 2126 665 2186']
                   the                  the ['P1,684 2127 791 2186']
X                upper                super ['P1,819 2143 1023 2201']
X               molars              usohtrs ['P1,1052 2127 1286 2186']
                     (                    ( ['P1,1315 2127 1494 2197']
                  such                 such ['P1,1315 2127 1494 2197']
X                   as                   ss ['P1,1522 2143 1593 2186']
X            auxiliary              ousahur ['P1,1620 2126 1924 2201']
X               stylar               strtor ['P1,1951 2127 2146 2201']
                 cusps                cusps ['P1,17 2215 227 2291']
                     )                    ) ['P1,17 2215 227 2291']
                  were                 were ['P1,253 2232 416 2275']
            relatively           relatively ['P1,440 2215 760 2291']
                  more                 more ['P1,785 2232 962 2276']
                recent               recent ['P1,987 2220 1201 2276']
          developments         developments ['P1,1224 2216 1687 2292']
                    in                   in ['P1,1712 2216 1777 2275']
             marsupial            marsupial ['P1,1801 2216 2145 2294']
               history              history ['P1,18 2305 282 2388']
                     .                    . ['P1,18 2305 282 2388']
                Dental               Dental ['P1,320 2306 547 2366']
              evidence             evidence ['P1,585 2306 879 2366']
              supports             supports ['P1,919 2310 1217 2382']
                   the                  the ['P1,1257 2307 1362 2367']
             monophyly            monophyly ['P1,1401 2307 1780 2382']
                    of                   of ['P1,1819 2306 1892 2367']
                higher               higher ['P1,1925 2306 2146 2382']
                     (                    ( ['P1,20 2385 493 2471']
          tribosphenic         tribosphenic ['P1,20 2385 493 2471']
                     )                    ) ['P1,20 2385 493 2471']
               mammals              mammals ['P1,522 2396 856 2455']
                   and                  and ['P1,884 2396 1011 2456']
              suggests             suggests ['P1,1039 2401 1318 2471']
                  that                 that ['P1,1345 2396 1482 2455']
                   the                  the ['P1,1508 2396 1614 2455']
         predominantly        predominantly ['P1,1642 2396 2145 2471']
                   Old                  Old ['P1,17 2486 143 2545']
X                World               %'orld ['P1,170 2487 391 2545']
         Deltatheroida        Deltatheroida ['P1,418 2487 913 2557']
                     ,                    , ['P1,418 2487 913 2557']
              recently             recently ['P1,944 2487 1218 2561']
              proposed             proposed ['P1,1245 2487 1559 2561']
                    as                   as ['P1,1586 2503 1655 2546']
                     a                    a ['P1,1682 2504 1722 2546']
                sister               sister ['P1,1748 2486 1930 2546']
                 taxon                taxon ['P1,1954 2492 2144 2546']
                    to                   to ['P1,17 2579 83 2634']
            marsupials           marsupials ['P1,111 2575 510 2649']
                     ,                    , ['P1,111 2575 510 2649']
            represents           represents ['P1,542 2580 897 2650']
                     a                    a ['P1,926 2593 965 2634']
             primitive            primitive ['P1,994 2575 1308 2650']
                   and                  and ['P1,1336 2576 1463 2634']
             unrelated            unrelated ['P1,1493 2576 1819 2635']
                 group                group ['P1,1848 2593 2049 2650']
                    of                   of ['P1,2077 2576 2150 2635']
                higher               higher ['P1,16 2664 237 2738']
               mammals              mammals ['P1,258 2665 615 2735']
                     ;                    ; ['P1,258 2665 615 2735']
                    by                   by ['P1,642 2665 724 2738']
                  this                 this ['P1,748 2664 873 2723']
        interpretation       interpretation ['P1,895 2664 1397 2739']
                     ,                    , ['P1,895 2664 1397 2739']
                 early                early ['P1,1423 2665 1596 2739']
            marsupials           marsupials ['P1,1619 2664 1993 2739']
                   and                  and ['P1,2017 2665 2144 2724']
                 their                their ['P1,16 2753 178 2812']
              presumed             presumed ['P1,197 2753 533 2827']
                 close                close ['P1,553 2753 717 2812']
             relatives            relatives ['P1,736 2753 1026 2812']
                   are                  are ['P1,1044 2770 1155 2812']
            restricted           restricted ['P1,1174 2753 1500 2812']
                    to                   to ['P1,1520 2758 1586 2812']
                 North                North ['P1,1604 2754 1807 2812']
               America              America ['P1,1827 2753 2138 2812']
                     .                    . ['P1,1827 2753 2138 2812']
                  This                 This ['P1,15 2842 188 2913']
                     ,                    , ['P1,15 2842 188 2913']
              together             together ['P1,229 2842 513 2916']
                  with                 with ['P1,550 2842 701 2900']
                   the                  the ['P1,739 2842 846 2901']
          hypothesized         hypothesized ['P1,884 2842 1327 2916']
         relationships        relationships ['P1,1366 2842 1803 2916']
                    of                   of ['P1,1841 2842 1913 2901']
                 South                South ['P1,1946 2842 2143 2901']
              American             American ['P1,15 2931 350 2991']
                     /                    / ['P1,355 2926 401 3005']
            Australian           Australian ['P1,406 2931 769 2991']
            marsupials           marsupials ['P1,795 2931 1172 3007']
                     (                    ( ['P1,1198 2931 1289 3003']
                    in                   in ['P1,1198 2931 1289 3003']
                   the                  the ['P1,1316 2932 1421 2992']
               context              context ['P1,1446 2937 1693 2992']
                    of                   of ['P1,1718 2931 1790 2992']
                   the                  the ['P1,1810 2932 1915 2992']
                 North                North ['P1,1940 2932 2143 2992']
              American             American ['P1,15 3021 350 3081']
            Cretaceous           Cretaceous ['P1,381 3021 761 3081']
             radiation            radiation ['P1,790 3022 1131 3092']
                     )                    ) ['P1,790 3022 1131 3092']
                   and                  and ['P1,1162 3022 1289 3081']
              evidence             evidence ['P1,1318 3022 1611 3082']
X                 from                 From ['P1,1640 3021 1807 3081']
                   the                  the ['P1,1836 3022 1942 3081']
                fossil               fossil ['P1,1971 3021 2143 3082']
                record               record ['P1,15 3110 239 3169']
                    of                   of ['P1,264 3109 336 3169']
                 South                South ['P1,356 3109 554 3169']
               America              America ['P1,580 3109 896 3181']
                     ,                    , ['P1,580 3109 896 3181']
                    in                   in ['P1,926 3109 992 3168']
                  turn                 turn ['P1,1018 3114 1167 3169']
              supports             supports ['P1,1194 3114 1490 3185']
                     a                    a ['P1,1515 3126 1554 3169']
                 North                North ['P1,1579 3110 1782 3169']
              American             American ['P1,1808 3109 2143 3169']
                origin               origin ['P1,13 3200 216 3274']
                   for                  for ['P1,242 3199 345 3259']
                   the                  the ['P1,372 3201 478 3259']
                 group                group ['P1,506 3217 731 3274']
                     .                    . ['P1,506 3217 731 3274']
              Although             Although ['P2,15 34 340 110']
                   the                  the ['P2,364 34 472 96']
               initial              initial ['P2,498 33 696 95']
X       diversi?cation      diversification ['P2,722 34 1226 96']
                    of                   of ['P2,1252 34 1329 96']
          tribosphenic         tribosphenic ['P2,1345 34 1782 111']
               mammals              mammals ['P2,1808 35 2139 96']
                     [                    [ ['P2,17 122 443 198']
            marsupials           marsupials ['P2,17 122 443 198']
                     ,                    , ['P2,17 122 443 198']
            placentals           placentals ['P2,472 122 850 199']
                     ,                    , ['P2,472 122 850 199']
                   and                  and ['P2,882 122 1008 184']
              presumed             presumed ['P2,1035 122 1379 199']
                allies               allies ['P2,1407 121 1610 195']
                     ,                    , ['P2,1407 121 1610 195']
                termed               termed ['P2,1640 122 1887 184']
                Theria               Theria ['P2,1912 122 2143 185']
                    of                   of ['P2,14 209 90 271']
           metatherian          metatherian ['P2,119 209 911 271']
X                    ?                    - ['P2,119 209 911 271']
             eutherian            eutherian ['P2,119 209 911 271']
                 grade                grade ['P2,945 209 1139 284']
                     (                    ( ['P2,1177 210 1266 282']
                     1                    1 ['P2,1177 210 1266 282']
                     )                    ) ['P2,1177 210 1266 282']
                    or                   or ['P2,1303 228 1378 272']
           tribotheres          tribotheres ['P2,1412 209 1794 272']
                     (                    ( ['P2,1831 210 1944 282']
                     2                    2 ['P2,1831 210 1944 282']
                     )                    ) ['P2,1831 210 1944 282']
                     ]                    ] ['P2,1831 210 1944 282']
                  took                 took ['P2,1984 210 2140 272']
                 place                place ['P2,14 297 196 372']
                    in                   in ['P2,220 296 284 357']
                   the                  the ['P2,306 297 415 359']
                  Late                 Late ['P2,440 297 601 359']
              Jurassic             Jurassic ['P2,623 296 907 360']
                    or                   or ['P2,931 315 1006 359']
                 Early                Early ['P2,1028 297 1220 372']
            Cretaceous           Cretaceous ['P2,1245 297 1639 360']
                     (                    ( ['P2,1663 297 1777 370']
                     3                    3 ['P2,1663 297 1777 370']
                     )                    ) ['P2,1663 297 1777 370']
                     ,                    , ['P2,1663 297 1777 370']
                  very                 very ['P2,1803 316 1960 372']
                little               little ['P2,1983 297 2139 359']
                    is                   is ['P2,14 383 68 445']
                 known                known ['P2,117 384 353 446']
                  from                 from ['P2,401 383 569 446']
                  that                 that ['P2,616 384 754 446']
                  time                 time ['P2,801 384 954 446']
                period               period ['P2,1003 384 1249 461']
                     .                    . ['P2,1003 384 1249 461']
                   The                  The ['P2,1302 384 1437 446']
                  most                 most ['P2,1487 392 1657 447']
           fundamental          fundamental ['P2,1703 384 2140 447']
           differences          differences ['P2,13 470 400 533']
               between              between ['P2,421 471 718 533']
                   the                  the ['P2,739 471 848 533']
                living               living ['P2,871 470 1066 547']
                groups               groups ['P2,1086 489 1347 548']
                     ,                    , ['P2,1086 489 1347 548']
            marsupials           marsupials ['P2,1374 471 1751 548']
                   and                  and ['P2,1774 472 1899 533']
X           eutherians           euthe-rian ['P2,1921 471 2139 533', 'P2,13 559 206 633']
X                    ,                   s, ['P2,1921 471 2139 533', 'P2,13 559 206 633']
                   lie                  lie ['P2,237 559 318 622']
                    in                   in ['P2,350 560 413 621']
                   the                  the ['P2,442 560 550 622']
          reproductive         reproductive ['P2,580 559 1032 637']
                system               system ['P2,1063 568 1308 636']
                     (                    ( ['P2,1337 561 1427 634']
                     4                    4 ['P2,1337 561 1427 634']
                     )                    ) ['P2,1337 561 1427 634']
                   but                  but ['P2,1455 560 1593 633']
                     ,                    , ['P2,1455 560 1593 633']
               because              because ['P2,1624 560 1905 623']
                    of                   of ['P2,1934 560 2011 623']
                   the                  the ['P2,2031 561 2138 622']
                nature               nature ['P2,14 656 236 708']
                    of                   of ['P2,279 647 354 710']
                   the                  the ['P2,389 648 499 708']
                fossil               fossil ['P2,540 647 726 710']
                record               record ['P2,769 648 1022 719']
                     ,                    , ['P2,769 648 1022 719']
          systematists         systematists ['P2,1071 647 1500 722']
                  have                 have ['P2,1543 648 1708 710']
                  long                 long ['P2,1751 648 1902 723']
                relied               relied ['P2,1941 647 2138 710']
               heavily              heavily ['P2,13 734 266 810']
                    on                   on ['P2,295 753 381 797']
       characteristics      characteristics ['P2,409 734 923 797']
                    of                   of ['P2,953 734 1030 798']
            individual           individual ['P2,1049 734 1398 797']
                 molar                molar ['P2,1426 735 1631 798']
                 teeth                teeth ['P2,1656 735 1830 797']
                    in                   in ['P2,1859 734 1924 797']
X         interpreting        inter-preting ['P2,1951 734 2138 797', 'P2,11 822 259 898']
                   the                  the ['P2,307 823 416 883']
              dynamics             dynamics ['P2,467 822 801 897']
                    of                   of ['P2,854 822 931 883']
                   the                  the ['P2,973 822 1082 883']
              earliest             earliest ['P2,1133 822 1390 883']
             radiation            radiation ['P2,1438 822 1751 883']
                    of                   of ['P2,1801 822 1877 883']
                higher               higher ['P2,1920 822 2140 897']
               mammals              mammals ['P2,13 909 345 971']
                     (                    ( ['P2,371 909 459 982']
                     2                    2 ['P2,371 909 459 982']
                     ,                    , ['P2,371 909 459 982']
                     5                    5 ['P2,487 909 548 981']
                     ,                    , ['P2,487 909 548 981']
                     6                    6 ['P2,576 909 661 982']
                     )                    ) ['P2,576 909 661 982']
                     .                    . ['P2,576 909 661 982']
                   The                  The ['P2,692 909 828 971']
              specimen             specimen ['P2,855 908 1185 984']
             described            described ['P2,1210 908 1549 971']
                 below                below ['P2,1573 909 1807 981']
                     ,                    , ['P2,1573 909 1807 981']
                   the                  the ['P2,1835 909 1943 971']
                  most                 most ['P2,1969 917 2139 972']
              complete             complete ['P2,12 996 332 1072']
                 known                known ['P2,371 996 608 1057']
                     (                    ( ['P2,649 996 740 1069']
                    in                   in ['P2,649 996 740 1069']
                 terms                terms ['P2,779 1004 976 1057']
                    of                   of ['P2,1017 996 1093 1059']
                number               number ['P2,1126 996 1396 1057']
                    of                   of ['P2,1433 996 1510 1057']
                 tooth                tooth ['P2,1540 997 1724 1058']
                  loci                 loci ['P2,1763 996 1891 1059']
X          represented          repre-sente ['P2,1928 1015 2137 1072', 'P2,14 1082 264 1156']
X                    )                   d) ['P2,1928 1015 2137 1072', 'P2,14 1082 264 1156']
                  from                 from ['P2,287 1081 456 1145']
                   the                  the ['P2,479 1082 588 1144']
                 Early                Early ['P2,614 1082 806 1158']
            Cretaceous           Cretaceous ['P2,831 1081 1252 1155']
                     ,                    , ['P2,831 1081 1252 1155']
                   was                  was ['P2,1279 1100 1414 1144']
             collected            collected ['P2,1439 1082 1755 1145']
                    at                   at ['P2,1780 1090 1843 1144']
                     a                    a ['P2,1867 1100 1907 1144']
                 newly                newly ['P2,1929 1082 2137 1159']
            discovered           discovered ['P2,11 1171 394 1232']
                   and                  and ['P2,417 1172 544 1232']
                highly               highly ['P2,566 1171 782 1246']
            productive           productive ['P2,805 1171 1186 1247']
            vertebrate           vertebrate ['P2,1210 1172 1571 1232']
             microsite            microsite ['P2,1594 1171 1919 1234']
                    in                   in ['P2,1942 1171 2006 1232']
                   the                  the ['P2,2029 1172 2136 1232']
                 Cedar                Cedar ['P2,12 1257 223 1320']
              Mountain             Mountain ['P2,258 1257 599 1319']
             Formation            Formation ['P2,638 1257 1009 1319']
                    of                   of ['P2,1047 1257 1124 1320']
                  Utah                 Utah ['P2,1156 1258 1350 1319']
                     .                    . ['P2,1156 1258 1350 1319']
                   The                  The ['P2,1394 1258 1529 1320']
                  site                 site ['P2,1571 1257 1689 1320']
                   has                  has ['P2,1727 1258 1843 1320']
               yielded              yielded ['P2,1883 1257 2136 1333']
               remains              remains ['P2,11 1345 285 1406']
                    of                   of ['P2,309 1345 386 1407']
         symmetrodonts        symmetrodonts ['P2,405 1345 951 1420']
                   and                  and ['P2,977 1345 1103 1407']
          triconodonts         triconodonts ['P2,1127 1345 1572 1408']
               similar              similar ['P2,1600 1345 1837 1407']
                    to                   to ['P2,1857 1353 1926 1408']
                 those                those ['P2,1949 1345 2136 1408']
              reported             reported ['P2,10 1430 308 1508']
                  from                 from ['P2,330 1430 499 1494']
                   the                  the ['P2,520 1431 628 1493']
                 Early                Early ['P2,653 1430 845 1508']
            Cretaceous           Cretaceous ['P2,869 1430 1266 1494']
               Antlers              Antlers ['P2,1289 1431 1549 1493']
                     (                    ( ['P2,1573 1431 1662 1506']
                     1                    1 ['P2,1573 1431 1662 1506']
                     )                    ) ['P2,1573 1431 1662 1506']
                   and                  and ['P2,1686 1431 1811 1493']
              Cloverly             Cloverly ['P2,1834 1431 2135 1508']
                     (                    ( ['P2,11 1520 100 1593']
                     7                    7 ['P2,11 1520 100 1593']
                     )                    ) ['P2,11 1520 100 1593']
            formations           formations ['P2,132 1520 537 1592']
                     ,                    , ['P2,132 1520 537 1592']
          respectively         respectively ['P2,574 1520 1027 1596']
                     ,                    , ['P2,574 1520 1027 1596']
                    of                   of ['P2,1064 1520 1142 1581']
                   the                  the ['P2,1168 1521 1276 1581']
               western              western ['P2,1310 1528 1587 1581']
                United               United ['P2,1622 1520 1861 1583']
                States               States ['P2,1898 1520 2134 1592']
                     ,                    , ['P2,1898 1520 2134 1592']
              together             together ['P2,10 1606 301 1681']
                  with                 with ['P2,334 1606 488 1669']
           tribotheres          tribotheres ['P2,523 1606 932 1679']
                     ,                    , ['P2,523 1606 932 1679']
     multituberculates    multituberculates ['P2,972 1606 1610 1679']
                     ,                    , ['P2,972 1606 1610 1679']
                   and                  and ['P2,1648 1607 1773 1669']
                     a                    a ['P2,1810 1625 1850 1669']
               diverse              diverse ['P2,1882 1606 2135 1669']
                 suite                suite ['P2,12 1693 174 1756']
                    of                   of ['P2,205 1694 282 1756']
X     well-represented     mell-represented ['P2,304 1694 895 1771']
X                lower               lovrer ['P2,926 1694 1127 1756']
           vertebrates          vertebrates ['P2,1157 1694 1573 1756']
                     .                    . ['P2,1157 1694 1573 1756']
              Evidence             Evidence ['P2,1612 1694 1939 1757']
                  from                 from ['P2,1969 1694 2136 1757']
              bivalves             bivalves ['P2,9 1780 297 1844']
                     (                    ( ['P2,319 1782 409 1855']
                     8                    8 ['P2,319 1782 409 1855']
                     )                    ) ['P2,319 1782 409 1855']
                   and                  and ['P2,430 1781 557 1844']
          palynomorphs         palynomorphs ['P2,576 1781 1081 1858']
                     (                    ( ['P2,1103 1782 1192 1856']
                     9                    9 ['P2,1103 1782 1192 1856']
                     )                    ) ['P2,1103 1782 1192 1856']
             indicates            indicates ['P2,1213 1781 1525 1844']
                   the                  the ['P2,1545 1781 1654 1844']
                 Cedar                Cedar ['P2,1675 1781 1888 1844']
X             Mountain            Moun-tain ['P2,1905 1783 2135 1844', 'P2,9 1869 139 1931']
             Formation            Formation ['P2,181 1869 551 1932']
                    to                   to ['P2,591 1877 661 1932']
                    be                   be ['P2,701 1870 783 1931']
                    of                   of ['P2,824 1869 902 1932']
                middle               middle ['P2,936 1869 1172 1932']
                    or                   or ['P2,1214 1887 1290 1931']
                  late                 late ['P2,1329 1870 1455 1932']
                Albian               Albian ['P2,1494 1869 1727 1932']
                   age                  age ['P2,1768 1888 1909 1945']
                     ;                    ; ['P2,1768 1888 1909 1945']
                 these                these ['P2,1952 1870 2135 1932']
          correlations         correlations ['P2,9 1956 427 2019']
                   are                  are ['P2,461 1975 570 2019']
            consistent           consistent ['P2,605 1956 964 2019']
                  with                 with ['P2,996 1956 1150 2019']
                     a                    a ['P2,1184 1975 1224 2019']
                  peak                 peak ['P2,1253 1957 1423 2032']
               fission              fission ['P2,1454 1956 1683 2019']
                 track                track ['P2,1716 1957 1896 2019']
X             deterThe            deter-The ['P2,1931 1957 2134 2019', 'P2,9 2165 120 2216']
           publication          publication ['P2,138 2165 466 2229']
                 costs                costs ['P2,485 2171 634 2216']
                    of                   of ['P2,653 2165 718 2216']
                  this                 this ['P2,729 2165 834 2216']
               article              article ['P2,854 2165 1037 2216']
                  were                 were ['P2,1056 2180 1198 2216']
              defrayed             defrayed ['P2,1217 2164 1474 2228']
                    in                   in ['P2,1493 2165 1547 2216']
                  part                 part ['P2,1563 2171 1682 2229']
                    by                   by ['P2,1698 2165 1771 2229']
                  page                 page ['P2,1790 2180 1924 2229']
                charge               charge ['P2,1943 2165 2135 2229']
               payment              payment ['P2,8 2250 278 2308']
